Entidad federativa,Año,Porcentaje_alfabetizacion,Años_escolaridad_15,Pob_hombres,Pob_mujeres,Edad_mediana,Pob_0-4_años,Pob_10-14_años,Pob_+100_años,Pob_15-19_años,Pob_20-24_años,Pob_25-29_años,Pob_30-34_años,Pob_35-39_años,Pob_40-44_años,Pob_45-49_años,Pob_05-9_años,Pob_50-54_años,Pob_55-59_años,Pob_60-64_años,Pob_65-69_años,Pob_70-74_años,Pob_75-79_años,Pob_80-84_años,Pob_85-89_años,Pob_90-94_años,Pob_95-99_años,Pob_afro_share,Pob_indigena_share,Pob_catolica,Pob_no-catolica,Pob_sin-religion,Población urbana,Población rural,Población total,Ingreso_percapita_mean,Ingreso_hogar_mean
26 Sonora,2005,NA,8.9,1198154,1196707,25,234936,240901,214,221592,201924,190619,191733,84559,147464,125538,243250,99848,74804,61504,48362,33784,23631,13538,6965,2323,902,NA,NA,NA,NA,NA,2054480,340381,2394861,NA,NA
26 Sonora,2010,96.25,9.42,1339612,1322868,26,250969,256883,224,251510,228147,207251,205910,102169,172253,147842,259950,128595,97274,74443,56240,43912,28060,17019,8961,3075,940,NA,NA,1986732,236135,152470,2290228,372252,2662480,NA,NA
26 Sonora,2015,96.6749699435,10.0014293655,NA,NA,27.159688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0556427,17.828287,NA,NA,NA,NA,NA,NA,NA,NA
26 Sonora,2020,97.7650581445,10.4031969177,1472197,1472643,30,218345,258791,197,255716,247003,227896,215004,103839,203895,192181,246711,170705,140464,121603,87708,61882,41519,26144,13203,4727,1421,1.4774996265,NA,2094915,323591,301072,2585669,359171,2944840,18334.134902445854,61358.1086851269
27 Tabasco,1995,NA,NA,872243,876526,19,216423,225955,523,207996,180648,143820,123023,54958,79309,61601,224135,46169,36478,30607,21043,15449,9585,6064,3781,1715,982,NA,NA,NA,NA,NA,911254,837515,1748769,NA,NA
27 Tabasco,2000,90.2134150636,7.2,934515,957314,21,213787,228638,573,212731,187604,159811,137071,62556,97004,76068,228831,56490,42339,36344,26854,18952,12879,7156,4324,2081,1225,NA,NA,1172469,311195,166993,1016577,875252,1891829,NA,NA
27 Tabasco,2005,NA,8,977785,1012184,23,204327,222167,512,210055,188484,166827,152970,67085,116283,94231,208905,74419,53257,43088,32200,24663,16749,9314,5288,2051,1228,NA,NA,NA,NA,NA,1094299,895670,1989969,NA,NA
27 Tabasco,2010,92.33,8.64,1100758,1137845,25,223692,220776,536,224257,206842,185871,174392,78148,136000,116426,225061,95109,72350,51726,38728,32532,21048,12257,7134,2669,1297,NA,NA,1305293,483961,185363,1284528,954075,2238603,NA,NA
27 Tabasco,2015,93.8071030437,9.3117689333,NA,NA,26.218306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1107181,25.767554,NA,NA,NA,NA,NA,NA,NA,NA
27 Tabasco,2020,94.8140512297,9.6933956749,1173671,1228927,29,206877,222698,461,208660,188555,180324,181427,84231,167602,147298,224058,130575,106647,84886,64809,41845,29521,18674,11315,4337,1677,1.5630163681,NA,1372585,603819,215386,1406511,996087,2402598,11892.227797296651,41665.4658999292
